name,viewCount
Lost one的号哭,9889181
Dance Robot Dance,9074574
阳炎眩乱,9063363
Panda Hero,8994138
Alien Alien,8860999
像神一样呐,8715730
ECHO(Crusher-P),8690773
BLACK ROCK SHOOTER(歌曲),8654900
Charles,8578775
Double Lariat,8488004
KING(Kanaria),8413505
将手,8384962
乙女解剖,8184716
1 2 fan club,8133966
春日风暴,7798544
快乐合成器,7711930
Lower,7687988
孩童记录,7654763
黎明前线,7411953
劣等上等,7374291
FREELY TOMORROW,7241661
苦巧克力装饰,7121472
妄想感伤代偿联盟,7118126
活动小丑,7097537
黎明与萤火,7059302
胆小鬼蒙布朗,7013686
Unhappy Refrain,7013046
连起来又分开罗刹与骨骸,7006376
迟延列车,6982382
逃避法律摇滚,6846188
太阳系迪斯科,6812544
吸血鬼(DECO*27),6805896
碱性劣等生,6727494
Darling Dance,6623009
啾噜哩啦·啾噜哩啦·哒哒哒！,6557405
甩葱歌,6538559
刹那旅程,6465971
回忆补时,6338888
如果能成为谁的心脏的话,6340778
夜谈欺骗,6280714
LUKALUKA NIGHT FEVER,6261249
卑怯战队UROTANDA,6182371
忧郁的心情,6063925
深海少女,5903866
天使(怪力熊),5846215
Invisible(kemu),5838756
让其响彻,5819385
Meru,5765384
东京泰迪熊,5728627
绿灯小夜曲,5673105
"*Hello, Planet.",5651935
Telecaster B-boy,5648178
夏令时记录,5640187
Envy baby,5596195
Lavie(surii),5524887
反复无常的宽赦,5476585
再见宣言,5442107
Just Be Friends,5389511
拟剧论,5377117
对二氯苯,5357895
妄想税,5248082
孑然妒火,5191982
1925,5189914
Calc.,5157427
地球最后的告白,5149557
不知醉,5106449
帝国少女,5100104
彗星蜜月,5075566
Gigantic O.T.N,5073128
右肩之蝶,5062525
透明哀歌,5053710
恶之召使,5029393
自我摇滚,5013516
