distance,year,month,day
4678354,2024,09,28
6202513,2024,09,29
4283918,2024,09,30
479379,2024,10,01
7773442,2024,10,02
4619790,2024,10,03
5310368,2024,10,04
4585388,2024,10,05
6918260,2024,10,06
2043110,2024,10,07
6538543,2024,10,08
8699822,2024,10,09
5736560,2024,10,10
5761639,2024,10,11
3737917,2024,10,12
4024338,2024,10,13
4529946,2024,10,14
5305509,2024,10,15
8440115,2024,10,16
6605767,2024,10,17
4247117,2024,10,18
6072446,2024,10,19
3820571,2024,10,20
3916867,2024,10,21
3817203,2024,10,22
5207371,2024,10,23
6790744,2024,10,24
7210305,2024,10,25
1831201,2024,10,26
1712793,2024,10,27
7261627,2024,10,28
4141114,2024,10,29
8699052,2024,10,30
7204531,2024,10,31
12400514,2024,11,01
12044556,2024,11,02
12461581,2024,11,03
8040061,2024,11,04
6769160,2024,11,05
8341488,2024,11,06
8148743,2024,11,07
8164051,2024,11,08
1441523,2024,11,09
228725,2024,11,10
8251005,2024,11,11
